"MP NAME";"WORK";"CATEGORY";"STATE";"CONSTITUENCY";"IDA";"CITY";"WARD";"BLOCK";"VILLAGE";"RECOMMENDED DATE";"ALLOCATION AMOUNT";"IDA APPROVAL";"STATUS";"HOUSE"
"Shivkumar Chanabasappa Udasi";"NA - Construction of bus-sheds or bus-stops";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Devagiri";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Lighting of public spaces";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR VIKARABAD_IDA";"";"";"Yelal";"Bennur";"2024-03-03";"170000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of additional rooms and halls in the existing public and community building";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Taranagar";"Buchawas";"2024-03-03";"650000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Dr Sukanta Majumdar ";"NA - Street lights";"Normal/Others";"West Bengal";"BALURGHAT";"DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA";"Balurghat";"Baidyanathpara (OG) - Ward No.25";"";"";"2024-03-03";"35000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of additional rooms and halls in the existing public and community building";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Sardarshahar";"Patlisar Purohitan";"2024-03-03";"650000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Parihara";"2024-03-03";"1000000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shivkumar Chanabasappa Udasi";"NA - Construction of rooms and halls in school and colleges";"Normal/Others";"Karnataka";"HAVERI";"DEPUTY COMMISSIONER HAVERI_IDA";"";"";"Haveri";"Kallihal";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of boundary walls of existing public and community buildings";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Khamar";"Sankhamur";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Shri Mahesh Sahoo ";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Odisha";"DHENKANAL";"DISTRICT COLLECTORANGUL_IDA";"";"";"Palalahada";"Pechamundi";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Gaddam Ranjith Reddy";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Telangana";"CHELVELLA";"DISTRICT COLLECTOR RANGAREDDY_IDA";"";"";"Chevella";"Mudimyal";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR BHARATPUR_IDA";"";"";"Bharatpur";"Garhi Zalimsingh";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Improvement of electricity distribution infrastructure";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Menasar";"2024-03-03";"200000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Construction of rooms and halls in school and colleges";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Chainpura";"2024-03-03";"850000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Development of playfields and sports grounds";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Ratangarh";"Gogasar";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR ALWAR_IDA";"";"";"Kathumar";"Titpuri";"2024-03-03";"700000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR ALWAR_IDA";"";"";"Kathumar";"Maithna";"2024-03-03";"400000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR ALWAR_IDA";"";"";"Kathumar";"Pisai";"2024-03-03";"600000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Crematoriums or structures on burial/ cremation ground for public convenience";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR BHARATPUR_IDA";"";"";"Nadbai";"Gadauli";"2024-03-03";"300000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Smt Ranjeeta Koli";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"BHARATPUR(SC)";"DISTRICT COLLECTOR BHARATPUR_IDA";"";"";"Nadbai";"Gadauli";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Rahul Kaswan";"NA - Improvement of electricity distribution infrastructure";"Normal/Others";"Rajasthan";"CHURU";"DISTRICT COLLECTOR CHURU_IDA";"";"";"Rajgarh";"Bas Mundi";"2024-03-03";"488000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Sukhbir Singh Jaunapuria";"NA - Construction of roads, link roads, pathways or any other road with or without drainage system";"Normal/Others";"Rajasthan";"TONK-SAWAI MADHOPUR";"DISTRICT COLLECTOR SAWAI MADHOPUR_IDA";"";"";"Sawai Madhopur";"Rawanjna Chaur";"2024-03-03";"250000";"Action Pending";"Unsanctioned";"Lok Sabha"
"Sukhbir Singh Jaunapuria";"NA - Construction of community centers and community halls";"Normal/Others";"Rajasthan";"TONK-SAWAI MADHOPUR";"DISTRICT COLLECTOR TONK_IDA";"";"";"Peeplu";"Janwali";"2024-03-03";"500000";"Action Pending";"Unsanctioned";"Lok Sabha"
